position=< 21188,  31669> velocity=<-2, -3>
position=<-10416, -31455> velocity=< 1,  3>
position=< 21144, -31450> velocity=<-2,  3>
position=< 42218,  21146> velocity=<-4, -2>
position=< 42223,  10633> velocity=<-4, -1>
position=<-52484,  42188> velocity=< 5, -4>
position=< 52759,  21154> velocity=<-5, -2>
position=<-41981,  21153> velocity=< 4, -2>
position=<-10386, -31452> velocity=< 1,  3>
position=< 10651, -10414> velocity=<-1,  1>
position=< 42234,  42197> velocity=<-4, -4>
position=<-52447,  42193> velocity=< 5, -4>
position=< 52763, -10408> velocity=<-5,  1>
position=< 31673,  21150> velocity=<-3, -2>
position=< 10660, -52501> velocity=<-1,  5>
position=<-31433, -31453> velocity=< 3,  3>
position=< 52750, -20933> velocity=<-5,  2>
position=< 42202, -31456> velocity=<-4,  3>
position=<-52442, -41971> velocity=< 5,  4>
position=<-52459,  52711> velocity=< 5, -5>
position=<-20916, -41972> velocity=< 2,  4>
position=< 10656,  42191> velocity=<-1, -4>
position=<-41966,  21153> velocity=< 4, -2>
position=<-20912,  21153> velocity=< 2, -2>
position=< 21172, -10415> velocity=<-2,  1>
position=<-41966, -20937> velocity=< 4,  2>
position=<-20898, -31455> velocity=< 2,  3>
position=<-20882, -52492> velocity=< 2,  5>
position=< 21163,  31671> velocity=<-2, -3>
position=<-20924,  21148> velocity=< 2, -2>
position=<-41926, -41975> velocity=< 4,  4>
position=<-31459, -52497> velocity=< 3,  5>
position=<-10384, -10413> velocity=< 1,  1>
position=<-52485, -41980> velocity=< 5,  4>
position=<-41937,  10626> velocity=< 4, -1>
position=< 21170,  42192> velocity=<-2, -4>
position=< 21170,  52713> velocity=<-2, -5>
position=<-31405,  52715> velocity=< 3, -5>
position=<-41934,  52718> velocity=< 4, -5>
position=<-31445, -10415> velocity=< 3,  1>
position=<-41937, -20938> velocity=< 4,  2>
position=< 31681, -52496> velocity=<-3,  5>
position=< 21177, -52494> velocity=<-2,  5>
position=< 52741, -20934> velocity=<-5,  2>
position=< 21184,  21146> velocity=<-2, -2>
position=<-20887,  10634> velocity=< 2, -1>
position=<-52502,  42191> velocity=< 5, -4>
position=< 42244,  21155> velocity=<-4, -2>
position=< 42191,  10625> velocity=<-4, -1>
position=<-52495,  52716> velocity=< 5, -5>
position=<-31413,  10625> velocity=< 3, -1>
position=<-10418, -31452> velocity=< 1,  3>
position=<-10378,  52715> velocity=< 1, -5>
position=< 52747, -31451> velocity=<-5,  3>
position=< 21178,  31672> velocity=<-2, -3>
position=<-20888,  31675> velocity=< 2, -3>
position=< 10657,  52714> velocity=<-1, -5>
position=< 21152,  10630> velocity=<-2, -1>
position=< 10676,  52718> velocity=<-1, -5>
position=< 31722, -10408> velocity=<-3,  1>
position=<-41974, -41979> velocity=< 4,  4>
position=<-31416, -10409> velocity=< 3,  1>
position=< 52715, -20930> velocity=<-5,  2>
position=< 52755, -20931> velocity=<-5,  2>
position=< 31669,  31674> velocity=<-3, -3>
position=< 52750, -10413> velocity=<-5,  1>
position=<-10383,  10628> velocity=< 1, -1>
position=< 31713,  21146> velocity=<-3, -2>
position=< 52763, -52499> velocity=<-5,  5>
position=< 42210, -52501> velocity=<-4,  5>
position=< 10656, -31453> velocity=<-1,  3>
position=< 31666,  21152> velocity=<-3, -2>
position=<-20896, -31453> velocity=< 2,  3>
position=< 21145, -10415> velocity=<-2,  1>
position=<-52461,  21151> velocity=< 5, -2>
position=<-10363, -41972> velocity=< 1,  4>
position=<-20890,  10628> velocity=< 2, -1>
position=<-41973, -41976> velocity=< 4,  4>
position=< 21186, -20934> velocity=<-2,  2>
position=<-52447,  42192> velocity=< 5, -4>
position=<-52458, -20937> velocity=< 5,  2>
position=<-20891,  52714> velocity=< 2, -5>
position=< 21173, -52501> velocity=<-2,  5>
position=< 52747, -31459> velocity=<-5,  3>
position=< 42230, -20931> velocity=<-4,  2>
position=< 52708, -52498> velocity=<-5,  5>
position=< 52755,  21146> velocity=<-5, -2>
position=< 21173,  31675> velocity=<-2, -3>
position=<-20904,  52715> velocity=< 2, -5>
position=< 52742, -20933> velocity=<-5,  2>
position=< 10659, -41973> velocity=<-1,  4>
position=< 52707, -10416> velocity=<-5,  1>
position=<-41974, -10414> velocity=< 4,  1>
position=<-10379, -52493> velocity=< 1,  5>
position=<-41981,  10628> velocity=< 4, -1>
position=<-10403, -41976> velocity=< 1,  4>
position=<-52466,  31676> velocity=< 5, -3>
position=< 52755, -20932> velocity=<-5,  2>
position=<-31425, -20932> velocity=< 3,  2>
position=<-10375, -41973> velocity=< 1,  4>
position=< 42210, -41971> velocity=<-4,  4>
position=< 21188, -20936> velocity=<-2,  2>
position=<-10371, -10415> velocity=< 1,  1>
position=<-31458, -10412> velocity=< 3,  1>
position=<-52454, -10413> velocity=< 5,  1>
position=<-31452, -20938> velocity=< 3,  2>
position=< 21152,  52710> velocity=<-2, -5>
position=<-31453, -10411> velocity=< 3,  1>
position=< 10631,  31667> velocity=<-1, -3>
position=< 31667,  31671> velocity=<-3, -3>
position=<-31453, -20938> velocity=< 3,  2>
